Area,Year,Month,PeriodType,Period,LaborForce,Employment,Unemployment,UnemploymentRate,SeasonalAdjustment
Phelps County,2020,February,3,2,19945,19181,764,3.8,Not seasonally adjusted
Phelps County,2020,January,3,1,19922,19033,889,4.5,Not seasonally adjusted
Phelps County,2019,Annual Averages,1,0,19828,19177,651,3.3,Not seasonally adjusted
Phelps County,2019,December,3,12,19934,19258,676,3.4,Not seasonally adjusted
Phelps County,2019,November,3,11,19915,19289,626,3.1,Not seasonally adjusted
Phelps County,2019,October,3,10,19864,19335,529,2.7,Not seasonally adjusted
Phelps County,2019,September,3,9,19791,19276,515,2.6,Not seasonally adjusted
Phelps County,2019,August,3,8,19854,19178,676,3.4,Not seasonally adjusted
Phelps County,2019,July,3,7,19570,18831,739,3.8,Not seasonally adjusted
Phelps County,2019,June,3,6,19743,19057,686,3.5,Not seasonally adjusted
Phelps County,2019,May,3,5,19910,19315,595,3,Not seasonally adjusted
Phelps County,2019,April,3,4,19812,19277,535,2.7,Not seasonally adjusted
Phelps County,2019,March,3,3,19959,19249,710,3.6,Not seasonally adjusted
Phelps County,2019,February,3,2,19924,19177,747,3.7,Not seasonally adjusted
Phelps County,2019,January,3,1,19664,18882,782,4,Not seasonally adjusted
Pike County,2020,May,3,5,7478,6795,683,9.1,Not seasonally adjusted
Pike County,2020,April,3,4,7457,6848,609,8.2,Not seasonally adjusted
Pike County,2020,March,3,3,7738,7428,310,4,Not seasonally adjusted
Pike County,2020,February,3,2,7481,7181,300,4,Not seasonally adjusted
Pike County,2020,January,3,1,7428,7068,360,4.8,Not seasonally adjusted
Pike County,2019,Annual Averages,1,0,7492,7224,268,3.6,Not seasonally adjusted
Pike County,2019,December,3,12,7504,7225,279,3.7,Not seasonally adjusted
Pike County,2019,November,3,11,7483,7227,256,3.4,Not seasonally adjusted
Pike County,2019,October,3,10,7528,7297,231,3.1,Not seasonally adjusted
Pike County,2019,September,3,9,7419,7198,221,3,Not seasonally adjusted
Pike County,2019,August,3,8,7325,7034,291,4,Not seasonally adjusted
Pike County,2019,July,3,7,7293,6996,297,4.1,Not seasonally adjusted
Pike County,2019,June,3,6,7535,7248,287,3.8,Not seasonally adjusted
Pike County,2019,May,3,5,7582,7344,238,3.1,Not seasonally adjusted
Pike County,2019,April,3,4,7599,7377,222,2.9,Not seasonally adjusted
Pike County,2019,March,3,3,7611,7328,283,3.7,Not seasonally adjusted
Pike County,2019,February,3,2,7583,7294,289,3.8,Not seasonally adjusted
Pike County,2019,January,3,1,7437,7120,317,4.3,Not seasonally adjusted
Platte County,2020,May,3,5,57195,51387,5808,10.2,Not seasonally adjusted
Platte County,2020,April,3,4,57026,51326,5700,10,Not seasonally adjusted
Platte County,2020,March,3,3,59422,57649,1773,3,Not seasonally adjusted
Platte County,2020,February,3,2,58888,57286,1602,2.7,Not seasonally adjusted
Platte County,2020,January,3,1,58694,56795,1899,3.2,Not seasonally adjusted
Platte County,2019,Annual Averages,1,0,58805,57239,1566,2.7,Not seasonally adjusted
Platte County,2019,December,3,12,59109,57523,1586,2.7,Not seasonally adjusted
Platte County,2019,November,3,11,59208,57757,1451,2.5,Not seasonally adjusted
Platte County,2019,October,3,10,59202,57823,1379,2.3,Not seasonally adjusted
Platte County,2019,September,3,9,58901,57659,1242,2.1,Not seasonally adjusted
Platte County,2019,August,3,8,59037,57384,1653,2.8,Not seasonally adjusted
Platte County,2019,July,3,7,60086,57897,2189,3.6,Not seasonally adjusted
Platte County,2019,June,3,6,59390,57811,1579,2.7,Not seasonally adjusted
Platte County,2019,May,3,5,58360,56954,1406,2.4,Not seasonally adjusted
Platte County,2019,April,3,4,58116,56856,1260,2.2,Not seasonally adjusted
Platte County,2019,March,3,3,58198,56476,1722,3,Not seasonally adjusted
Platte County,2019,February,3,2,58086,56456,1630,2.8,Not seasonally adjusted
Platte County,2019,January,3,1,57963,56270,1693,2.9,Not seasonally adjusted
Polk County,2020,May,3,5,14010,13103,907,6.5,Not seasonally adjusted
Polk County,2020,April,3,4,14019,13157,862,6.1,Not seasonally adjusted
Polk County,2020,March,3,3,14836,14319,517,3.5,Not seasonally adjusted
Polk County,2020,February,3,2,14727,14231,496,3.4,Not seasonally adjusted
Polk County,2020,January,3,1,14782,14191,591,4,Not seasonally adjusted
Polk County,2019,Annual Averages,1,0,14584,14081,503,3.4,Not seasonally adjusted
Polk County,2019,December,3,12,14680,14202,478,3.3,Not seasonally adjusted
Polk County,2019,November,3,11,14665,14220,445,3,Not seasonally adjusted
Polk County,2019,October,3,10,14799,14339,460,3.1,Not seasonally adjusted
Polk County,2019,September,3,9,14589,14116,473,3.2,Not seasonally adjusted
Polk County,2019,August,3,8,14425,13866,559,3.9,Not seasonally adjusted
Polk County,2019,July,3,7,14708,14175,533,3.6,Not seasonally adjusted
Polk County,2019,June,3,6,14483,13971,512,3.5,Not seasonally adjusted
Polk County,2019,May,3,5,14533,14085,448,3.1,Not seasonally adjusted
Polk County,2019,April,3,4,14490,14080,410,2.8,Not seasonally adjusted
Polk County,2019,March,3,3,14557,14008,549,3.8,Not seasonally adjusted
Polk County,2019,February,3,2,14579,14006,573,3.9,Not seasonally adjusted
Polk County,2019,January,3,1,14503,13906,597,4.1,Not seasonally adjusted
Pulaski County,2020,May,3,5,14233,13150,1083,7.6,Not seasonally adjusted
Pulaski County,2020,April,3,4,14324,13213,1111,7.8,Not seasonally adjusted
Pulaski County,2020,March,3,3,15090,14453,637,4.2,Not seasonally adjusted
Pulaski County,2020,February,3,2,14809,14210,599,4,Not seasonally adjusted
Pulaski County,2020,January,3,1,14787,14056,731,4.9,Not seasonally adjusted
Pulaski County,2019,Annual Averages,1,0,14692,14094,598,4.1,Not seasonally adjusted
Pulaski County,2019,December,3,12,14715,14022,693,4.7,Not seasonally adjusted
Pulaski County,2019,November,3,11,14780,14151,629,4.3,Not seasonally adjusted
Pulaski County,2019,October,3,10,14708,14168,540,3.7,Not seasonally adjusted
Pulaski County,2019,September,3,9,14680,14091,589,4,Not seasonally adjusted
Pulaski County,2019,August,3,8,14717,14065,652,4.4,Not seasonally adjusted
Pulaski County,2019,July,3,7,14535,13939,596,4.1,Not seasonally adjusted
Pulaski County,2019,June,3,6,14781,14223,558,3.8,Not seasonally adjusted
Pulaski County,2019,May,3,5,14699,14110,589,4,Not seasonally adjusted
Pulaski County,2019,April,3,4,14583,14119,464,3.2,Not seasonally adjusted
Pulaski County,2019,March,3,3,14694,14059,635,4.3,Not seasonally adjusted
Pulaski County,2019,February,3,2,14776,14164,612,4.1,Not seasonally adjusted
Pulaski County,2019,January,3,1,14634,14011,623,4.3,Not seasonally adjusted
Putnam County,2020,May,3,5,2295,2156,139,6.1,Not seasonally adjusted
Putnam County,2020,April,3,4,2343,2223,120,5.1,Not seasonally adjusted
Putnam County,2020,March,3,3,2316,2226,90,3.9,Not seasonally adjusted
Putnam County,2020,February,3,2,2306,2215,91,3.9,Not seasonally adjusted
Putnam County,2020,January,3,1,2306,2195,111,4.8,Not seasonally adjusted
Putnam County,2019,Annual Averages,1,0,2291,2207,84,3.7,Not seasonally adjusted
Putnam County,2019,December,3,12,2225,2150,75,3.4,Not seasonally adjusted
Putnam County,2019,November,3,11,2237,2172,65,2.9,Not seasonally adjusted
Putnam County,2019,October,3,10,2331,2266,65,2.8,Not seasonally adjusted
Putnam County,2019,September,3,9,2186,2116,70,3.2,Not seasonally adjusted
Putnam County,2019,August,3,8,2215,2108,107,4.8,Not seasonally adjusted
Putnam County,2019,July,3,7,2227,2142,85,3.8,Not seasonally adjusted
Putnam County,2019,June,3,6,2244,2166,78,3.5,Not seasonally adjusted
Putnam County,2019,May,3,5,2353,2279,74,3.1,Not seasonally adjusted
Putnam County,2019,April,3,4,2391,2325,66,2.8,Not seasonally adjusted
Putnam County,2019,March,3,3,2343,2249,94,4,Not seasonally adjusted
Putnam County,2019,February,3,2,2373,2271,102,4.3,Not seasonally adjusted
Putnam County,2019,January,3,1,2359,2237,122,5.2,Not seasonally adjusted
Ralls County,2020,May,3,5,5508,5179,329,6,Not seasonally adjusted
Ralls County,2020,April,3,4,5606,5232,374,6.7,Not seasonally adjusted
Ralls County,2020,March,3,3,5746,5548,198,3.4,Not seasonally adjusted
Ralls County,2020,February,3,2,5639,5429,210,3.7,Not seasonally adjusted
Ralls County,2020,January,3,1,5677,5451,226,4,Not seasonally adjusted
Ralls County,2019,Annual Averages,1,0,5662,5484,178,3.1,Not seasonally adjusted
Ralls County,2019,December,3,12,5708,5529,179,3.1,Not seasonally adjusted
Ralls County,2019,November,3,11,5745,5583,162,2.8,Not seasonally adjusted
Ralls County,2019,October,3,10,5715,5579,136,2.4,Not seasonally adjusted
Ralls County,2019,September,3,9,5623,5500,123,2.2,Not seasonally adjusted
Ralls County,2019,August,3,8,5521,5356,165,3,Not seasonally adjusted
Ralls County,2019,July,3,7,5612,5437,175,3.1,Not seasonally adjusted
Ralls County,2019,June,3,6,5658,5487,171,3,Not seasonally adjusted
Ralls County,2019,May,3,5,5667,5504,163,2.9,Not seasonally adjusted
Ralls County,2019,April,3,4,5698,5543,155,2.7,Not seasonally adjusted
Ralls County,2019,March,3,3,5693,5456,237,4.2,Not seasonally adjusted
Ralls County,2019,February,3,2,5652,5411,241,4.3,Not seasonally adjusted
Ralls County,2019,January,3,1,5650,5426,224,4,Not seasonally adjusted
Randolph County,2020,May,3,5,10157,9263,894,8.8,Not seasonally adjusted
Randolph County,2020,April,3,4,10245,9345,900,8.8,Not seasonally adjusted
Randolph County,2020,March,3,3,10694,10234,460,4.3,Not seasonally adjusted
Randolph County,2020,February,3,2,10623,10173,450,4.2,Not seasonally adjusted
Randolph County,2020,January,3,1,10442,9939,503,4.8,Not seasonally adjusted
Randolph County,2019,Annual Averages,1,0,10380,9978,402,3.9,Not seasonally adjusted
Randolph County,2019,December,3,12,10528,10107,421,4,Not seasonally adjusted
Randolph County,2019,November,3,11,10513,10117,396,3.8,Not seasonally adjusted
Randolph County,2019,October,3,10,10475,10155,320,3.1,Not seasonally adjusted
Randolph County,2019,September,3,9,10401,10071,330,3.2,Not seasonally adjusted
Randolph County,2019,August,3,8,10059,9631,428,4.3,Not seasonally adjusted
Randolph County,2019,July,3,7,10304,9823,481,4.7,Not seasonally adjusted
Randolph County,2019,June,3,6,10371,9962,409,3.9,Not seasonally adjusted
Randolph County,2019,May,3,5,10428,10087,341,3.3,Not seasonally adjusted
Randolph County,2019,April,3,4,10344,10042,302,2.9,Not seasonally adjusted
Randolph County,2019,March,3,3,10493,10055,438,4.2,Not seasonally adjusted
Randolph County,2019,February,3,2,10453,9971,482,4.6,Not seasonally adjusted
Randolph County,2019,January,3,1,10187,9711,476,4.7,Not seasonally adjusted
Ray County,2020,May,3,5,11268,9601,1667,14.8,Not seasonally adjusted
Ray County,2020,April,3,4,11334,9608,1726,15.2,Not seasonally adjusted
Ray County,2020,March,3,3,11136,10711,425,3.8,Not seasonally adjusted
Ray County,2020,February,3,2,11073,10657,416,3.8,Not seasonally adjusted
Ray County,2020,January,3,1,11050,10572,478,4.3,Not seasonally adjusted
Ray County,2019,Annual Averages,1,0,11033,10632,401,3.6,Not seasonally adjusted
Ray County,2019,December,3,12,11062,10676,386,3.5,Not seasonally adjusted
Ray County,2019,November,3,11,11067,10720,347,3.1,Not seasonally adjusted
Ray County,2019,October,3,10,11089,10768,321,2.9,Not seasonally adjusted
Ray County,2019,September,3,9,10984,10687,297,2.7,Not seasonally adjusted
Ray County,2019,August,3,8,11083,10635,448,4,Not seasonally adjusted
Ray County,2019,July,3,7,11320,10733,587,5.2,Not seasonally adjusted
Ray County,2019,June,3,6,11148,10708,440,3.9,Not seasonally adjusted
Ray County,2019,May,3,5,10932,10600,332,3,Not seasonally adjusted
Ray County,2019,April,3,4,10904,10595,309,2.8,Not seasonally adjusted
Ray County,2019,March,3,3,10936,10501,435,4,Not seasonally adjusted
Ray County,2019,February,3,2,10949,10497,452,4.1,Not seasonally adjusted
Ray County,2019,January,3,1,10923,10469,454,4.2,Not seasonally adjusted
Reynolds County,2020,May,3,5,2934,2716,218,7.4,Not seasonally adjusted
Reynolds County,2020,April,3,4,2956,2742,214,7.2,Not seasonally adjusted
Reynolds County,2020,March,3,3,3051,2908,143,4.7,Not seasonally adjusted
Reynolds County,2020,February,3,2,3010,2881,129,4.3,Not seasonally adjusted
Reynolds County,2020,January,3,1,3031,2883,148,4.9,Not seasonally adjusted
Reynolds County,2019,Annual Averages,1,0,3042,2929,113,3.7,Not seasonally adjusted
Reynolds County,2019,December,3,12,2996,2871,125,4.2,Not seasonally adjusted
Reynolds County,2019,November,3,11,2992,2882,110,3.7,Not seasonally adjusted
Reynolds County,2019,October,3,10,3056,2961,95,3.1,Not seasonally adjusted
Reynolds County,2019,September,3,9,3041,2953,88,2.9,Not seasonally adjusted
Reynolds County,2019,August,3,8,2933,2812,121,4.1,Not seasonally adjusted
Reynolds County,2019,July,3,7,3051,2934,117,3.8,Not seasonally adjusted
Reynolds County,2019,June,3,6,3230,3128,102,3.2,Not seasonally adjusted
Reynolds County,2019,May,3,5,3108,3009,99,3.2,Not seasonally adjusted
Reynolds County,2019,April,3,4,3021,2921,100,3.3,Not seasonally adjusted
Reynolds County,2019,March,3,3,3038,2907,131,4.3,Not seasonally adjusted
Reynolds County,2019,February,3,2,3019,2883,136,4.5,Not seasonally adjusted
Reynolds County,2019,January,3,1,3012,2886,126,4.2,Not seasonally adjusted
Ripley County,2020,May,3,5,5090,4466,624,12.3,Not seasonally adjusted
Ripley County,2020,April,3,4,5138,4502,636,12.4,Not seasonally adjusted
Ripley County,2020,March,3,3,5093,4840,253,5,Not seasonally adjusted
Ripley County,2020,February,3,2,5017,4769,248,4.9,Not seasonally adjusted
Ripley County,2020,January,3,1,5046,4768,278,5.5,Not seasonally adjusted
Ripley County,2019,Annual Averages,1,0,5039,4761,278,5.5,Not seasonally adjusted
Ripley County,2019,December,3,12,5026,4777,249,5,Not seasonally adjusted
Ripley County,2019,November,3,11,4990,4780,210,4.2,Not seasonally adjusted
Ripley County,2019,October,3,10,5069,4881,188,3.7,Not seasonally adjusted
Ripley County,2019,September,3,9,4974,4800,174,3.5,Not seasonally adjusted
Ripley County,2019,August,3,8,4842,4574,268,5.5,Not seasonally adjusted
Ripley County,2019,July,3,7,4929,4604,325,6.6,Not seasonally adjusted
Ripley County,2019,June,3,6,5152,4761,391,7.6,Not seasonally adjusted
Ripley County,2019,May,3,5,5167,4827,340,6.6,Not seasonally adjusted
Ripley County,2019,April,3,4,5159,4844,315,6.1,Not seasonally adjusted
Ripley County,2019,March,3,3,5074,4781,293,5.8,Not seasonally adjusted
Ripley County,2019,February,3,2,5052,4753,299,5.9,Not seasonally adjusted
Ripley County,2019,January,3,1,5039,4754,285,5.7,Not seasonally adjusted
Saline County,2020,May,3,5,10565,10065,500,4.7,Not seasonally adjusted
Saline County,2020,April,3,4,10703,10195,508,4.7,Not seasonally adjusted
Saline County,2020,March,3,3,11194,10788,406,3.6,Not seasonally adjusted
Saline County,2020,February,3,2,10729,10287,442,4.1,Not seasonally adjusted
Saline County,2020,January,3,1,10731,10270,461,4.3,Not seasonally adjusted
Saline County,2019,Annual Averages,1,0,10608,10267,341,3.2,Not seasonally adjusted
Saline County,2019,December,3,12,10566,10221,345,3.3,Not seasonally adjusted
Saline County,2019,November,3,11,10595,10260,335,3.2,Not seasonally adjusted
Saline County,2019,October,3,10,10711,10458,253,2.4,Not seasonally adjusted
Saline County,2019,September,3,9,10476,10228,248,2.4,Not seasonally adjusted
Saline County,2019,August,3,8,10156,9787,369,3.6,Not seasonally adjusted
Saline County,2019,July,3,7,10298,9882,416,4,Not seasonally adjusted
Saline County,2019,June,3,6,10790,10401,389,3.6,Not seasonally adjusted
Saline County,2019,May,3,5,10723,10401,322,3,Not seasonally adjusted
Saline County,2019,April,3,4,10842,10567,275,2.5,Not seasonally adjusted
Saline County,2019,March,3,3,10726,10339,387,3.6,Not seasonally adjusted
Saline County,2019,February,3,2,10719,10339,380,3.5,Not seasonally adjusted
Saline County,2019,January,3,1,10695,10323,372,3.5,Not seasonally adjusted
Schuyler County,2020,May,3,5,1902,1803,99,5.2,Not seasonally adjusted
Schuyler County,2020,April,3,4,1967,1840,127,6.5,Not seasonally adjusted
Schuyler County,2020,March,3,3,1971,1873,98,5,Not seasonally adjusted
Schuyler County,2020,February,3,2,1969,1871,98,5,Not seasonally adjusted
Schuyler County,2020,January,3,1,1965,1860,105,5.3,Not seasonally adjusted
Schuyler County,2019,Annual Averages,1,0,1948,1862,86,4.4,Not seasonally adjusted
Schuyler County,2019,December,3,12,1932,1860,72,3.7,Not seasonally adjusted
Schuyler County,2019,November,3,11,1943,1875,68,3.5,Not seasonally adjusted
Schuyler County,2019,October,3,10,2012,1932,80,4,Not seasonally adjusted
Schuyler County,2019,September,3,9,1898,1830,68,3.6,Not seasonally adjusted
Schuyler County,2019,August,3,8,1849,1758,91,4.9,Not seasonally adjusted
Schuyler County,2019,July,3,7,1895,1785,110,5.8,Not seasonally adjusted
Schuyler County,2019,June,3,6,1901,1807,94,4.9,Not seasonally adjusted
Schuyler County,2019,May,3,5,1978,1911,67,3.4,Not seasonally adjusted
Schuyler County,2019,April,3,4,2011,1951,60,3,Not seasonally adjusted
Schuyler County,2019,March,3,3,1982,1877,105,5.3,Not seasonally adjusted
Schuyler County,2019,February,3,2,1992,1880,112,5.6,Not seasonally adjusted
Schuyler County,2019,January,3,1,1986,1876,110,5.5,Not seasonally adjusted
Scotland County,2020,May,3,5,2350,2270,80,3.4,Not seasonally adjusted
Scotland County,2020,April,3,4,2432,2324,108,4.4,Not seasonally adjusted
Scotland County,2020,March,3,3,2428,2350,78,3.2,Not seasonally adjusted
Scotland County,2020,February,3,2,2420,2347,73,3,Not seasonally adjusted
Scotland County,2020,January,3,1,2451,2357,94,3.8,Not seasonally adjusted
Scotland County,2019,Annual Averages,1,0,2384,2311,73,3.1,Not seasonally adjusted
Scotland County,2019,December,3,12,2365,2310,55,2.3,Not seasonally adjusted
Scotland County,2019,November,3,11,2386,2325,61,2.6,Not seasonally adjusted
Scotland County,2019,October,3,10,2479,2417,62,2.5,Not seasonally adjusted
Scotland County,2019,September,3,9,2338,2283,55,2.4,Not seasonally adjusted
Scotland County,2019,August,3,8,2320,2243,77,3.3,Not seasonally adjusted
Scotland County,2019,July,3,7,2346,2274,72,3.1,Not seasonally adjusted
Scotland County,2019,June,3,6,2354,2279,75,3.2,Not seasonally adjusted
Scotland County,2019,May,3,5,2434,2360,74,3,Not seasonally adjusted
Scotland County,2019,April,3,4,2451,2390,61,2.5,Not seasonally adjusted
Scotland County,2019,March,3,3,2385,2291,94,3.9,Not seasonally adjusted
Scotland County,2019,February,3,2,2361,2267,94,4,Not seasonally adjusted
Scotland County,2019,January,3,1,2392,2298,94,3.9,Not seasonally adjusted
Scott County,2020,May,3,5,19223,17824,1399,7.3,Not seasonally adjusted
Scott County,2020,April,3,4,19655,18146,1509,7.7,Not seasonally adjusted
Scott County,2020,March,3,3,20446,19545,901,4.4,Not seasonally adjusted
Scott County,2020,February,3,2,20131,19317,814,4,Not seasonally adjusted
Scott County,2020,January,3,1,20122,19258,864,4.3,Not seasonally adjusted
Scott County,2019,Annual Averages,1,0,20000,19293,707,3.5,Not seasonally adjusted
Scott County,2019,December,3,12,20054,19310,744,3.7,Not seasonally adjusted
Scott County,2019,November,3,11,19960,19274,686,3.4,Not seasonally adjusted
Scott County,2019,October,3,10,20146,19540,606,3,Not seasonally adjusted
Scott County,2019,September,3,9,19765,19191,574,2.9,Not seasonally adjusted
Scott County,2019,August,3,8,19642,18881,761,3.9,Not seasonally adjusted
Scott County,2019,July,3,7,19700,18798,902,4.6,Not seasonally adjusted
Scott County,2019,June,3,6,20055,19269,786,3.9,Not seasonally adjusted
Scott County,2019,May,3,5,20141,19518,623,3.1,Not seasonally adjusted
Scott County,2019,April,3,4,20177,19631,546,2.7,Not seasonally adjusted
Scott County,2019,March,3,3,20114,19373,741,3.7,Not seasonally adjusted
Scott County,2019,February,3,2,20101,19364,737,3.7,Not seasonally adjusted
Scott County,2019,January,3,1,20150,19367,783,3.9,Not seasonally adjusted
Shannon County,2020,May,3,5,3286,2968,318,9.7,Not seasonally adjusted
Shannon County,2020,April,3,4,3397,3015,382,11.2,Not seasonally adjusted
Shannon County,2020,March,3,3,3339,3106,233,7,Not seasonally adjusted
Shannon County,2020,February,3,2,3208,3006,202,6.3,Not seasonally adjusted
Shannon County,2020,January,3,1,3251,3032,219,6.7,Not seasonally adjusted
Shannon County,2019,Annual Averages,1,0,3228,3048,180,5.6,Not seasonally adjusted
Shannon County,2019,December,3,12,3209,3000,209,6.5,Not seasonally adjusted
Shannon County,2019,November,3,11,3197,3016,181,5.7,Not seasonally adjusted
Shannon County,2019,October,3,10,3306,3163,143,4.3,Not seasonally adjusted
Shannon County,2019,September,3,9,3169,3048,121,3.8,Not seasonally adjusted
Shannon County,2019,August,3,8,3150,2985,165,5.2,Not seasonally adjusted
Shannon County,2019,July,3,7,3224,3038,186,5.8,Not seasonally adjusted
Shannon County,2019,June,3,6,3289,3110,179,5.4,Not seasonally adjusted
Shannon County,2019,May,3,5,3289,3137,152,4.6,Not seasonally adjusted
Shannon County,2019,April,3,4,3250,3102,148,4.6,Not seasonally adjusted
Shannon County,2019,March,3,3,3222,3002,220,6.8,Not seasonally adjusted
Shannon County,2019,February,3,2,3204,2972,232,7.2,Not seasonally adjusted
Shannon County,2019,January,3,1,3236,3008,228,7,Not seasonally adjusted
Shelby County,2020,May,3,5,3071,2937,134,4.4,Not seasonally adjusted
Shelby County,2020,April,3,4,3127,2994,133,4.3,Not seasonally adjusted
Shelby County,2020,March,3,3,3237,3080,157,4.9,Not seasonally adjusted
Shelby County,2020,February,3,2,3179,3035,144,4.5,Not seasonally adjusted
Shelby County,2020,January,3,1,3173,3029,144,4.5,Not seasonally adjusted
Shelby County,2019,Annual Averages,1,0,3061,2970,91,3,Not seasonally adjusted
Shelby County,2019,December,3,12,3060,2962,98,3.2,Not seasonally adjusted
Shelby County,2019,November,3,11,3060,2983,77,2.5,Not seasonally adjusted
Shelby County,2019,October,3,10,3141,3081,60,1.9,Not seasonally adjusted
Shelby County,2019,September,3,9,3010,2955,55,1.8,Not seasonally adjusted
Shelby County,2019,August,3,8,2913,2838,75,2.6,Not seasonally adjusted
Shelby County,2019,July,3,7,2902,2817,85,2.9,Not seasonally adjusted
Shelby County,2019,June,3,6,3066,2989,77,2.5,Not seasonally adjusted
Shelby County,2019,May,3,5,3141,3071,70,2.2,Not seasonally adjusted
Shelby County,2019,April,3,4,3139,3072,67,2.1,Not seasonally adjusted
Shelby County,2019,March,3,3,3103,2961,142,4.6,Not seasonally adjusted
Shelby County,2019,February,3,2,3100,2954,146,4.7,Not seasonally adjusted
Shelby County,2019,January,3,1,3095,2959,136,4.4,Not seasonally adjusted
St. Charles County,2020,May,3,5,219560,198885,20675,9.4,Not seasonally adjusted
St. Charles County,2020,April,3,4,221541,200359,21182,9.6,Not seasonally adjusted
St. Charles County,2020,March,3,3,230397,223260,7137,3.1,Not seasonally adjusted
St. Charles County,2020,February,3,2,226899,220432,6467,2.9,Not seasonally adjusted
St. Charles County,2020,January,3,1,228350,219683,8667,3.8,Not seasonally adjusted
St. Charles County,2019,Annual Averages,1,0,227085,221305,5780,2.5,Not seasonally adjusted
St. Charles County,2019,December,3,12,227773,221693,6080,2.7,Not seasonally adjusted
St. Charles County,2019,November,3,11,228381,222847,5534,2.4,Not seasonally adjusted
St. Charles County,2019,October,3,10,228399,223263,5136,2.2,Not seasonally adjusted
St. Charles County,2019,September,3,9,227777,223159,4618,2,Not seasonally adjusted
St. Charles County,2019,August,3,8,228067,222034,6033,2.6,Not seasonally adjusted
St. Charles County,2019,July,3,7,231144,224831,6313,2.7,Not seasonally adjusted
St. Charles County,2019,June,3,6,229219,223266,5953,2.6,Not seasonally adjusted
St. Charles County,2019,May,3,5,225606,220332,5274,2.3,Not seasonally adjusted
St. Charles County,2019,April,3,4,224952,220168,4784,2.1,Not seasonally adjusted
St. Charles County,2019,March,3,3,225141,218649,6492,2.9,Not seasonally adjusted
St. Charles County,2019,February,3,2,225220,218745,6475,2.9,Not seasonally adjusted
St. Charles County,2019,January,3,1,223345,216678,6667,3,Not seasonally adjusted
St. Clair County,2020,May,3,5,3751,3443,308,8.2,Not seasonally adjusted
St. Clair County,2020,April,3,4,3790,3497,293,7.7,Not seasonally adjusted
St. Clair County,2020,March,3,3,3839,3669,170,4.4,Not seasonally adjusted
St. Clair County,2020,February,3,2,3776,3593,183,4.8,Not seasonally adjusted
St. Clair County,2020,January,3,1,3831,3611,220,5.7,Not seasonally adjusted
St. Clair County,2019,Annual Averages,1,0,3749,3577,172,4.6,Not seasonally adjusted
St. Clair County,2019,December,3,12,3748,3572,176,4.7,Not seasonally adjusted
St. Clair County,2019,November,3,11,3711,3566,145,3.9,Not seasonally adjusted
St. Clair County,2019,October,3,10,3796,3656,140,3.7,Not seasonally adjusted
St. Clair County,2019,September,3,9,3656,3520,136,3.7,Not seasonally adjusted
St. Clair County,2019,August,3,8,3552,3354,198,5.6,Not seasonally adjusted
St. Clair County,2019,July,3,7,3654,3450,204,5.6,Not seasonally adjusted
St. Clair County,2019,June,3,6,3759,3561,198,5.3,Not seasonally adjusted
St. Clair County,2019,May,3,5,3863,3703,160,4.1,Not seasonally adjusted
St. Clair County,2019,April,3,4,3796,3672,124,3.3,Not seasonally adjusted
St. Clair County,2019,March,3,3,3788,3610,178,4.7,Not seasonally adjusted
St. Clair County,2019,February,3,2,3810,3612,198,5.2,Not seasonally adjusted
St. Clair County,2019,January,3,1,3846,3643,203,5.3,Not seasonally adjusted
St. Francois County,2020,May,3,5,26450,23620,2830,10.7,Not seasonally adjusted
St. Francois County,2020,April,3,4,26347,23703,2644,10,Not seasonally adjusted
St. Francois County,2020,March,3,3,27443,26044,1399,5.1,Not seasonally adjusted
St. Francois County,2020,February,3,2,26766,25428,1338,5,Not seasonally adjusted
St. Francois County,2020,January,3,1,26833,25429,1404,5.2,Not seasonally adjusted
St. Francois County,2019,Annual Averages,1,0,26637,25658,979,3.7,Not seasonally adjusted
St. Francois County,2019,December,3,12,26896,25788,1108,4.1,Not seasonally adjusted
St. Francois County,2019,November,3,11,26717,25766,951,3.6,Not seasonally adjusted
St. Francois County,2019,October,3,10,26571,25777,794,3,Not seasonally adjusted
St. Francois County,2019,September,3,9,26498,25728,770,2.9,Not seasonally adjusted
St. Francois County,2019,August,3,8,26557,25528,1029,3.9,Not seasonally adjusted
St. Francois County,2019,July,3,7,26605,25509,1096,4.1,Not seasonally adjusted
St. Francois County,2019,June,3,6,27160,26143,1017,3.7,Not seasonally adjusted
St. Francois County,2019,May,3,5,26621,25769,852,3.2,Not seasonally adjusted
St. Francois County,2019,April,3,4,26457,25695,762,2.9,Not seasonally adjusted
St. Francois County,2019,March,3,3,26537,25465,1072,4,Not seasonally adjusted
St. Francois County,2019,February,3,2,26547,25416,1131,4.3,Not seasonally adjusted
St. Francois County,2019,January,3,1,26468,25307,1161,4.4,Not seasonally adjusted
St. Louis City,2020,May,3,5,152395,131847,20548,13.5,Not seasonally adjusted
St. Louis City,2020,April,3,4,150250,132658,17592,11.7,Not seasonally adjusted
St. Louis City,2020,March,3,3,155432,148348,7084,4.6,Not seasonally adjusted
St. Louis City,2020,February,3,2,152631,146529,6102,4,Not seasonally adjusted
St. Louis City,2020,January,3,1,153083,146125,6958,4.5,Not seasonally adjusted
St. Louis City,2019,Annual Averages,1,0,153066,147111,5955,3.9,Not seasonally adjusted
St. Louis City,2019,December,3,12,153635,147586,6049,3.9,Not seasonally adjusted
